Sami Johansson,Classic,12,7,19
Tuomas Iiskola,Erä,10,9,19
Lassi Vänttinen,Classic,8,10,18
Casper Pfitzner,Oilers,8,9,17
Sami Koski,SPV,8,9,17
Jere Oksanen,Erä,12,4,16
Jami Manninen,Happee,12,3,15
Veli_Matti Hynynen,Happee,10,5,15
Perttu Puska,Josba,9,6,15
Petri Kauko,Happee,5,10,15
Oscar Hänninen,Oilers,8,6,14
Juho Järvinen,SSV,11,2,13
Henri Johansson,Nokian KrP,8,5,13
Johannes Jokinen,Happee,3,10,13
Jussi Piha,Classic,2,11,13
Eemeli Salin,Koovee,10,2,12
Aaron Fagerholm,Erä,8,4,12
Mikko Kohonen,SPV,8,4,12
Mikko Leikkanen,Classic,7,5,12
Tuukka Kiviranta,SPV,9,2,11
Rasmus Horn,Loviisa,8,3,11
Perttu Pajukoski,Oilers,8,3,11
Tatu Könönen,Josba,7,4,11
Miro Lehtinen,Nokian KrP,4,7,11
Otto Valavuo,NST,9,1,10
Miikka Läntinen,TPS,9,1,10
Valtteri Parviainen,OLS,8,2,10
Peter Kotilainen,Classic,6,4,10
Tommi Merto,Nokian KrP,5,5,10
Petri Niemelä,OLS,5,5,10
Tommi Rosendahl,Erä,4,6,10
Jani Helenius,SSV,3,7,10
Teemu Aaltonen,TPS,3,7,10
Mikko Hautaniemi,TPS,7,2,9
Niko Juhola,Classic,6,3,9
Juho Kaila,NST,6,3,9
Erik Härkönen,SPV,6,3,9
Juha Kivilehto,SPV,4,5,9
Otto Tikka,Happee,3,6,9
Petri Mäki,Loviisa,3,6,9
Matti Taurama,SPV,3,6,9
Joonas Föhr,TPS,3,6,9
Janne Hulmi,SPV,2,7,9
Asser Jääskeläinen,Classic,6,2,8
Eino Pesu,Indians,6,2,8
Lassi Kotovaara,Happee,5,3,8
Ville Kangasmäki,Nokian KrP,5,3,8
